Entreprise,PER,ROE,Croissance CA,Dividende,Secteur,PB,beta
Hydraulique Pb,,0.07019,,,Industrials,0.8377689,0.589381
Hydro-Exploit.,0.8335688,-0.07458,,0.034,Industrials,3.584556,0.444232
Hydrogen Refueling,,-0.18792,-0.377,,Consumer Cyclical,0.8417051,1.563
I.Ceram,,,-0.351,,Healthcare,0.45578232,1.091
I2S,58.666664,0.07754,0.604,0.0159,Industrials,1.2373453,0.117
Iante Investments,,,,,,,
Icade,,-0.16969,-0.002,0.21079999,Real Estate,0.38980767,1.222
Icape Holding,12.499999,0.16464001,-0.084,0.0179,Technology,1.933488,0.487
Id Logistics Group,47.42647,0.12976,0.187,,Industrials,5.3825502,0.784
Idi,,,-0.854,0.0403,Financial Services,0.65632516,0.659
Ids,,,,0.0845,Technology,,-0.290297
Idsud,16.026936,,0.064,,Industrials,10.95134,0.743
Igis Neptune,,,,,,,
Ikonisys,,,1.308,,Healthcare,0.9302325,0.696
Ilbe,,,,,,,
Imalliance,1.7333333,-0.41674998,,,Communication Services,0.36879432,1.246753
Imerys,,,-0.069,0.0481,Basic Materials,0.74906373,1.358
Imm.Paris.Perle,,,,,,,
Immersion,Infinity,-0.00098,-0.172,,Technology,1.0761485,0.721
Immob.Dassault,,-0.03125,0.135,0.0402,Real Estate,0.59566724,0.515
Implanet,,-1.7764599,-0.035,,Healthcare,4.125,1.183
Imprimerie Chirat,6.5168543,0.11797,,0.0625,Communication Services,0.7637609,0.579067
Impulse Fitness,,0.00396,,,Consumer Cyclical,15.384615,0.017162
Indle Fin.Entrepr.,225.92592,0.01781,-0.06,0.1174,Industrials,1.1460996,0.674
Infoclip,3.3444817,,,,Technology,0.39070132,-0.056913
Infotel,16.527195,0.14867,-0.059,0.0508,Technology,2.427781,0.8
Innate Pharma,,-0.78587997,-0.693,,Healthcare,4.4382024,0.868
Innelec Multimedia,8.59375,0.04104,0.059,0.1289,Technology,0.3532888,0.822
Innovative Rfk Spa,,-0.05553,0.366,,Financial Services,0.8865248,0.075
Installux,9.83405,0.07788,-0.018,0.025,Basic Materials,0.7571097,0.523
Integragen,,-0.08174,0.01,,Healthcare,1.5592107,0.19
Integritas Viager,,,,,,,
Interparfums,29.321428,0.18038,0.067,0.025799999,Consumer Defensive,4.920292,1.003
Intexa,15.882353,0.04572,-0.077,,Consumer Cyclical,0.71015257,-0.134
Intrasense,,-0.54048,-0.448,,Healthcare,2.7425742,-0.845
Inventiva,,,-0.587,,Healthcare,,0.805
Invibes Advertsing,,-0.07626,-0.043,,Communication Services,0.5325858,0.357
Ipsen,13.685535,0.17909999,0.079,0.011,Healthcare,2.227591,0.575
Ipsos,10.907767,0.13523,0.047,0.0372,Industrials,1.3798397,1.035
Ispd,18.375,,0.196,,Communication Services,5.495327,0.389
It Link,13.756345,0.1434,0.121,0.012999999,Technology,1.8136796,1.167
Italy Innovazioni,,,,,,,
Jacques Bogart,14.400001,0.12100001,-0.026,0.0332,Consumer Defensive,1.1143354,0.849
Jacquet Metals,61.037033,0.013040001,-0.051,0.012,Basic Materials,0.49477604,1.241
Jcdecaux,11.92742,0.14827,0.136,,Communication Services,1.5286821,1.596
Jungle21,22.666666,,,,Industrials,17.34694,
Kalray,,-0.40787998,-0.138,,Technology,0.18521696,1.554
Kaufman Et Broad,13.739317,0.25331,-0.144,0.0744,Consumer Cyclical,3.392066,1.055
Kering,14.424439,0.13932,-0.11,0.048299998,Consumer Cyclical,2.0102012,1.019
Kerlink,,-0.50095004,-0.058,,Technology,0.6742138,1.593
Keyrus,,-0.02052,-0.046,,Technology,2.9502196,1.365
Kko International,,-0.39110002,2.406,,Consumer Defensive,3.2439024,-0.198
Klarsen,1.2439024,,2.629,,Communication Services,2.0158103,1.515
Klepierre,12.127119,0.07558,0.111,0.0623,Real Estate,1.0160105,1.669
Kompuestos,,-0.01568,-0.109,,Basic Materials,0.89206064,0.342
Kumulus Vape,5.6705885,0.16238001,0.019,0.0295,Consumer Cyclical,0.5589054,0.946
L'Oreal,28.775846,0.22523001,0.075,0.019199999,Consumer Defensive,6.27899,0.754
La Perla Fashion,,,,,,,
Lacroix Group,,-0.07548,-0.07,0.0725,Technology,0.27566403,1.312
Lagardere Sa,41.56863,0.12765999,0.132,0.0305,Consumer Cyclical,3.878522,1.062
Lanson-Bcc,7.8504667,0.0844,-0.195,0.0327,Consumer Defensive,0.62866014,0.571
Largo,,-0.80396,0.088,,Technology,1.8277513,0.337
Latecoere,,-3.11518,0.452,,Industrials,,1.361
Laurent-Perrier,10.039371,0.11153,0.038,0.021300001,Consumer Defensive,1.010091,0.216
Ldc,7.8896885,0.15323,0.021,0.0273,Consumer Defensive,1.076025,0.492
Lebon,14.182908,,-0.109,0.0354,Financial Services,0.6163429,0.871
Lectra,34.691357,0.076220006,0.111,0.0128999995,Technology,3.4478528,1.196
Legrand,24.40404,0.15314001,0.003,0.0216,Industrials,3.7076538,0.873
Lepermislibre,,-1.6985899,-0.146,,Consumer Cyclical,20.416666,
Les Hotels Baverez,32.88889,0.121549994,-0.066,0.0041,Consumer Cyclical,4.0342364,0.25
Lexibook Linguist.,7.142857,0.34495,0.181,,Consumer Cyclical,1.8256505,1.868
Lhyfe,,-0.3082,3.32,,Basic Materials,1.5818584,1.301
Linedata Services,14.496403,0.25100002,0.025,0.0219,Technology,3.319878,0.671
Lisi,18.5,0.05826,0.106,0.014199999,Industrials,1.0521327,1.633
Llama Group,5.46,0.92322,-0.032,,Communication Services,3.4267783,1.483
Lleida,,-0.61561,-0.235,,Communication Services,5.050251,0.918
Lna Sante,9.810925,0.080819994,0.071,0.0254,Healthcare,0.7776594,0.772
Locasystem Intl,,-0.034649998,,0.113000005,Technology,0.77026534,-0.376172
Logic Instrument,7.927273,0.18879,1.041,,Technology,1.3374232,0.891
Lombard Et Medot,735.0,0.01119,,,Consumer Defensive,0.5245504,0.342627
Lucibel,,-1.02832,-0.373,,Industrials,3.0,0.9
Lumibird,31.10345,0.03408,0.008,,Healthcare,1.0254662,1.374
Lvmh,22.989616,0.2321,-0.013,0.020599999,Consumer Cyclical,4.949587,0.987
M.R.M,,-0.09433,-0.004,0.0366,Real Estate,0.9616947,0.165
M2I,8.487805,0.09709,-0.06,,Technology,0.74486303,1.004
Maat Pharma,,-0.84848,0.249,,Healthcare,4.4347825,0.193
Made,,,0.231,0.0546,Technology,,-0.167
Magillem,2.56,,,0.0344,Technology,0.2614201,0.532849
Mais.Antoine Baud,,,,,,,
Maison Clio Blue,Infinity,,,,Consumer Cyclical,,
Maisons Du Monde,,-0.028169999,-0.097,0.0156,Consumer Cyclical,0.25502682,1.615
Making Science,,-0.41527,0.106,,Communication Services,3.940092,1.571
Malteries Fco-Bel.,8.058242,0.14377,0.16,0.0055,Consumer Defensive,1.2761726,0.543
Manitou Bf,3.9107978,0.18559,0.004,0.083000004,Industrials,0.6825911,1.252
Maq Admon. Urbanas,,,,,,,
Mare Nostrum,,,-0.226,,Industrials,,0.85
Maroc Telecom,60.384617,0.12579,-0.008,0.0477,Communication Services,0.5709091,0.478
Mastrad,,-0.36756,-0.462,,Consumer Defensive,0.27058822,0.768
Mauna Kea Tech,,,-0.402,,Healthcare,,1.397
Maurel Et Prom,4.0491805,0.29927,0.378,0.0622,Energy,0.92839694,0.958
Mbws,42.666664,0.04966,-0.039,,Consumer Defensive,2.0458179,0.089
Medesis Pharma,,,-0.799,,Healthcare,,0.049
Media 6,9.40171,0.110860005,-0.033,,Industrials,0.91468483,0.325
Media Lab,55.500004,0.0673,,,Healthcare,5.0917435,0.533995
Mediantechnologies,,,-0.04,,Healthcare,,1.48
Medincell,,,-0.367,,Healthcare,,1.2
Memscap Regpt,15.23077,,-0.128,,Technology,1.6343375,1.315
Mercialys,16.222223,0.08428001,0.039,0.096599996,Real Estate,1.5320042,1.637
Mersen,6.905538,0.099580005,0.027,0.0598,Industrials,0.63490164,1.495
Metabolic Explorer,,,,,,,
Metalliance,,,,,,,
Metavisio,2.7685714,,,,Technology,,
Methanor,,0.022920001,,0.0577,Utilities,0.32368624,0.127
Metrics In Balance,,-0.00454,,,Healthcare,0.012331838,0.158899
Metropole Tv,6.4470587,0.17424999,0.057,0.1141,Communication Services,1.1150676,1.17
Mexedia,,-0.03215,-0.71,,Financial Services,0.5956199,-0.266
Mg International,7.962963,0.1234,-0.128,0.0791,Industrials,0.6706176,0.913
Mgi Digital Graphi,35.463413,0.06521,0.108,,Technology,0.6968274,
Michelin,3.1132812,,,,,,
Micropole,312.0,0.0046200003,0.053,,Technology,1.5694164,1.064
Miguet Et Associes,,-0.55705,,,Financial Services,0.6494845,1.548
Miliboo,3.8428574,0.42613,0.03,,Consumer Cyclical,1.3654822,1.219
Mon Courtier Energ,61.999996,0.02391,0.134,0.0517,Industrials,2.2496371,
Moncey (Fin.) Nom.,256.73468,0.00508,,0.0023,Financial Services,1.3671387,0.45
Montea,,,,,,,
Montepino Logistic,,,,,Real Estate,,
Moulinvest,16.408451,0.02902,-0.111,0.0287,Basic Materials,0.44689092,1.893
Mr Bricolage,5.2413793,0.1236,-0.072,,Consumer Cyclical,0.6085842,0.569
Munic,,-0.12965,-0.432,,Technology,0.5702067,1.426
Mutter Ventures,,,,,,,
Myhotelmatch,7.92,,,,Consumer Cyclical,,0.277
Nacon,3.1882353,0.06927,0.274,,Communication Services,0.18048617,0.638
Namr,,,0.746,,Technology,24.0,0.916
Nanobiotix,,,1.821,,Healthcare,,1.403
Neoen,73.05556,0.03266,-0.077,0.0038,Utilities,2.2002232,0.878
Neolife,,-0.11474,0.111,,Consumer Cyclical,1.2888888,2.34
Neovacs,,-0.17662,,,Healthcare,0.019663325,-930.659
Netgem,19.08,0.06302,-0.075,0.0517,Technology,1.315862,0.605
Netmedia Group,,-0.87964,-0.197,,Communication Services,2.748538,0.867
Neurones,22.18593,0.14872,0.092,0.0269,Technology,3.0638447,0.558
Nexans,18.818493,0.15556,0.054,0.020599999,Industrials,2.654269,1.376
Nexity,14.213483,0.031240001,-0.164,,Real Estate,0.36400783,1.234
Nextedia,14.266667,0.04659,0.103,,Communication Services,0.55947715,0.97
Nfl Biosciences,,,,,Healthcare,,
Nhoa,3.0341463,-0.29524,0.072,,Industrials,1.429885,1.165
Nicox,,-0.32681,2.563,,Healthcare,0.26115862,0.89
Nokia,26.143751,0.04488,-0.081,0.0295,Technology,1.1205465,0.737
Nortem Biogroup,,,,,,,
Novacyt,,-0.42043,2.091,,Healthcare,0.6098295,-1.775
Novatech Ind.,,0.27317,,,Technology,1.0253906,0.650496
Nr21,10.254777,,,,Consumer Cyclical,,
Nrj Group,10.656251,0.07295,0.036,0.0499,Communication Services,0.75609756,0.41
Nsc Groupe,5.4618115,0.091079995,,,Industrials,0.80090636,0.382
Nse,18.269232,0.1268,0.563,0.0087,Technology,2.2125611,0.466
Ober,,,-0.054,,,1.0247443,
Obiz,,,1.986,,Communication Services,1.8377945,0.572
Octopus Biosafety,,,,,Technology,,1.411
Oeneo,20.977777,0.08773,-0.135,0.0367,Consumer Defensive,1.9391947,0.236
Omer-Decugis & Cie,7.3220344,0.16934,,0.0081,Consumer Defensive,1.1704146,0.343
Oncodesign Pm,,,-0.4,,Healthcare,4.5945945,-0.699
One Experience,,-0.08447,,,Financial Services,0.42937854,0.727697
Onlineformapro,2.26,0.33238998,,0.0538,Consumer Defensive,5.0,-1.192513
Orange,12.657144,0.078940004,0.025,0.074,Communication Services,0.8250233,0.166
Orapi,,-0.62289,-0.023,,Consumer Defensive,1.5417457,-0.092
Ordissimo,,,0.172,,Technology,0.20149477,-0.383
Orege,,,0.137,,Industrials,,1.381
Orinoquia,,,,,,,
Ose Immuno,4.618497,0.88543,59.805,,Healthcare,2.1346512,0.812
Osmosun,,,,,Industrials,,
Ovh,,-0.02562,0.107,,Technology,4.754376,
Pacte Novation,,0.0128999995,,,Technology,1.8281939,-0.256684
Paref,,-0.12162,-0.198,0.0392,Real Estate,0.5121098,0.562
Parrot,,-0.37686002,-0.03,,Technology,1.5973155,0.671
Part.Indles Mini.,1920.0001,0.018609999,,,Conglomerates,35.555557,-0.010695
Parx Materials Nv,,-0.04438,,,Basic Materials,0.30798844,0.57372
Passat,8.464285,0.03663,-0.032,,Consumer Cyclical,0.46884272,0.616
Patrimoine Et Comm,9.512196,0.069359995,0.098,0.0692,Real Estate,0.6784733,0.413
Paulic Meunerie,,-0.00918,0.016,,Consumer Defensive,0.6519026,1.037
Pernod Ricard,18.953688,0.09036,-0.003,0.0432,Consumer Defensive,1.7632041,0.55
Perrier (Gerard),16.429941,0.16913,0.073,0.026400002,Industrials,2.6377418,0.837
Perseida Renta,,,,,,,
Pet Service,,,,,Consumer Cyclical,,
Peugeot Invest,16.341461,0.02964,-0.137,0.0448,Financial Services,0.32650492,1.411
Pharnext,,,,,Healthcare,,-313.293
Phaxiam Tx,,,2.932,,Healthcare,0.41271347,1.824
Phone Web,7.25,-1.14716,,0.0495,Industrials,6.105263,0.581741
Photonike Capital,,,,,Financial Services,,
Pierre Vacances,,,0.05,,Consumer Cyclical,,2.408
Piscines Desjoyaux,8.695652,0.11375,-0.202,0.0837,Consumer Cyclical,0.97465885,1.233
Placoplatre,,,,,,,
Plant Advanced,12.424243,-0.11843,,,Healthcare,2.0327218,0.997
Plast.Val Loire,,0.00061,-0.037,,Consumer Cyclical,0.11649355,2.15
Poujoulat,8.559322,0.07359,-0.242,0.018,Industrials,0.5931059,0.62
Poulaillon,8.671876,,0.101,0.0107,Consumer Defensive,1.0648504,0.67
Poxel,,,0.736,,Healthcare,,1.672
Precia,48.98305,0.114709996,-0.052,0.0138,Industrials,1.7096546,0.64
Predilife,,,-0.097,,Healthcare,,0.364
Prismaflex Intl,11.956522,0.07585,-0.078,,Communication Services,0.8371385,1.352
Proactis Sa,,-0.03878,-0.036,,Technology,0.49166667,0.727
Prodware,,,1.914,,Technology,0.69798857,0.781
Prodways,,-0.25768998,-0.282,,Technology,0.41847315,0.886
Prologue,,,-0.011,,Technology,1.1595092,0.824
Prop.Immeubles,,,,,,,
Publicis Groupe Sa,18.342014,0.15469,0.077,0.0326,Communication Services,2.6742096,0.996
Quadient,8.478469,0.06785,0.032,0.037100002,Technology,0.5739271,1.117
Quadpack,,-0.03522,-0.143,,Consumer Cyclical,2.1393235,0.093
Quantum Genomics,,-1.56812,-0.909,,Healthcare,5.5461535,0.715
Qwamplify,,-0.29553,0.061,,Communication Services,0.55721855,0.514
Racing Force,19.157896,0.09828,0.01,0.024,Consumer Cyclical,1.6774193,0.639
Rallye,,,,,,,
Ramsay Gen Sante,,-0.02928,0.053,,Healthcare,1.0719897,0.211
Rapid Nutrition,,-2.80866,-0.576,,Healthcare,,-1.417
Realites,,-1.0457,-0.351,,Real Estate,1.3753107,0.753
Remy Cointreau,19.576803,0.102419995,-0.182,0.0348,Consumer Defensive,1.7240428,0.463
Renault,8.639052,0.05099,0.004,0.0423,Consumer Cyclical,0.39125308,1.695
Reworld Media,3.5045457,0.1491,-0.009,,Communication Services,0.4273836,0.837
Rexel,11.081897,0.12835,-0.014,0.047399998,Technology,1.388004,1.488
Riber,11.521739,0.25857002,0.129,0.026400002,Technology,2.8281753,0.961
Robertet,20.929106,0.18406999,0.101,0.0097,Basic Materials,3.5772774,0.331
Robertet Cdv 87,,,,,,,
Robertet Ci,17.985943,0.18406999,0.101,,Basic Materials,3.0690145,0.331
Roche Bobois,18.680202,0.19582,-0.078,0.0618,Consumer Cyclical,3.7432609,0.81
Roctool,,-1.05373,-0.43,,Technology,0.6622517,
Rougier S.A.,3.9189188,0.27536,,,Basic Materials,1.1148701,-0.086
Rubis,6.748538,0.11695,0.004,0.0866,Energy,0.889677,1.223
S.E.B.,12.574124,0.14401,0.036,0.028800001,Consumer Cyclical,1.6410744,0.859
Safe,,,0.272,,Healthcare,,1.035
Safran,53.87755,0.14998999,0.186,0.010299999,Industrials,7.914559,1.309
Saint Gobain,15.690685,0.124139994,-0.06,0.0233,Industrials,1.861396,1.37
Saint Jean Groupe,15.76,,0.004,0.0050999997,Consumer Defensive,0.8302778,0.125
Samse,11.115538,0.07399,-0.052,0.0719,Industrials,0.7904041,0.763
Sanofi,25.568247,,0.115,0.040799998,Healthcare,1.5797535,0.445
Sapmer,,-0.81115997,-0.356,,Consumer Defensive,1.2115933,0.273
Sartorius Sted Bio,108.56288,0.05016,-0.017,0.0038,Healthcare,4.5571084,0.666
Savencia,6.961039,0.05963,0.001,0.026500002,Consumer Defensive,0.42411438,0.653
Savonnerie Nyons,15.928144,,,0.0374,Consumer Defensive,,
Scbsm,,0.0012800001,0.083,,Real Estate,0.46822023,0.68
Scemi,28.285715,0.13781999,,,Industrials,1.121813,-1.682964
Schneider Electric,34.6875,0.14938,0.031,0.0139,Industrials,5.064279,0.951
Scientia School,,-0.01117,,,Consumer Defensive,12.594936,-0.028125
Scor Se,22.841122,0.029059999,0.037,0.0801,Financial Services,0.93442935,1.223
Seche Environnem.,14.71455,0.103690006,0.019,0.0154,Industrials,1.8450952,0.746
Segro Plc,,,,,,,
Seif Spa,,,,,,,
Selcodis,,,,,,,
Selectirente,16.861599,0.0587,0.011,0.0462,Real Estate,0.99442434,0.226
Semplicemente Spa,,,,,,,
Sensorion,,-0.50726,0.227,,Healthcare,2.503597,1.343
Sequa Petroleum Nv,,-0.40251,,,Energy,0.47826087,0.421
Sergeferrari Group,,-0.06434,-0.078,0.0212,Industrials,0.62238836,1.232
Ses,,,-0.02,0.22540002,Communication Services,0.49027696,0.819
Showroomprive,,-0.0911,-0.04,,Consumer Cyclical,0.56943566,1.646
Sidetrade,46.526318,0.22045,0.183,,Technology,8.736214,0.715
Signaux Girod,4.963768,0.053000003,-0.042,0.073,Industrials,0.2537742,0.522
Silc,,,,,,,
Sirius Media,0.06476191,,1.239,,Communication Services,,1.709
Smaio,,-0.12807,-0.427,,Healthcare,1.5344603,0.609
Smalto,,0.21907,,,Consumer Cyclical,0.0069060773,-0.028
Smart Good Things,,-1.00916,-0.779,,Consumer Defensive,5.0955415,0.351
Smcp,22.666666,-0.025980001,-0.04,,Consumer Cyclical,0.22092268,1.73
Smtpc,15.599999,0.14277,0.02,0.0769,Industrials,2.3347301,0.541
Soc Franc Casinos,6.615385,0.124630004,0.04,,Consumer Cyclical,0.720268,0.225
Societe Generale,9.159169,0.05748,0.095,0.0347,Financial Services,0.31259593,1.455
Sodexo,15.973896,0.17888,0.058,0.0332,Industrials,3.0791564,0.752
Soditech,,0.01748,0.292,,Industrials,0.98347753,0.334
Sogeclair,18.563831,0.08064,0.09,0.0533,Industrials,1.195697,1.708
Soitec,27.37261,0.12701,-0.067,,Technology,2.0517044,1.381
Solocal Group,,,-0.119,,Communication Services,,0.994
Solutions 30 Se,,-0.10687,-0.003,,Technology,0.9057292,1.663
Sopra Steria Group,16.905418,0.11821,0.102,0.0253,Technology,1.8987017,1.261
Spartoo,,-0.03471,-0.105,,Consumer Cyclical,0.23400475,0.915
Speed Rabbit Pizza,23.428572,0.00065,,,Consumer Defensive,1.8242491,0.976
Spie,22.44776,0.11604,0.125,0.0286,Industrials,2.632362,1.268
Spineguard,,-0.71023005,0.095,,Healthcare,2.570652,2.355
Spineway,,-0.31708,0.057,,Healthcare,6.9396854e-05,1.477
Sqli,55.10204,0.04221,0.025,0.0119,Technology,2.130934,
St Dupont,,-0.15809,0.124,,Consumer Cyclical,3.0692308,0.308
Stef,10.107859,0.14362,0.067,0.039,Industrials,1.3755792,0.879
Stellantis Nv,3.0,0.16757,-0.136,0.119799994,Consumer Cyclical,0.46972862,1.238
Stif,24.329897,,0.694,0.0082,Industrials,8.78303,
Stmicroelectronics,10.858696,0.12512,-0.266,0.013099999,Technology,1.2819526,1.244
Stradim Espac.Fin,8.088235,0.11283,-0.129,0.0305,Real Estate,0.5344995,0.193
Streamwide,19.440992,0.20729999,0.102,,Technology,3.716457,1.085
Streit Mecanique,,,,,,,
Sumo Resources Plc,,,,,Basic Materials,4.4999995,1.933537
Sword Group,16.97183,0.21184999,0.074,0.047199998,Technology,3.6719148,1.044
Synergie,10.0,,0.029,0.0248,Industrials,1.0012561,1.38
Tarkett,19.444443,0.04065,-0.031,,Industrials,0.7585609,1.019
Tatatu,,-0.32731998,0.123,,Technology,129.7619,0.168
Tayninh,,,,,,,
Technip Energies,12.193877,0.20376,0.131,0.0238,Energy,2.129745,0.678
Teleperformance,8.518234,0.15612,0.282,0.0437,Industrials,1.2444794,0.717
Televerbier,5.861244,0.02536,0.062,,Industrials,0.44082588,0.293
Televista,,,,,,,
Teract,,-0.23004,-0.056,,Consumer Cyclical,0.27982703,0.754
Teract Bs,,,,,,,
Tf1,7.851064,0.10244001,-0.044,0.0746,Communication Services,0.8055889,1.091
Tff Group,11.23077,0.12002,0.073,0.0207,Consumer Cyclical,1.2927219,0.801
Thales,30.45553,0.12404,0.089,0.024300002,Industrials,3.9590557,0.585
The Azur Selection,,,,,Consumer Cyclical,,
The Blockchain Gp,,,-0.317,,Technology,2.9816513,2.133
Theraclion,,,-0.36,,Healthcare,2.9274194,0.07
Theranexus,,-2.3399699,8.059,,Healthcare,,2.355
Theravet,,-0.25492,-0.262,,Healthcare,0.07299939,-0.36
Thermador Groupe,13.636364,0.14022,-0.161,0.030199999,Industrials,1.7376413,0.861
Tikehau Capital,22.666666,0.05212,-0.022,0.0369,Financial Services,1.1221739,0.712
Tme Pharma,,-9.00997,-0.909,,Healthcare,2.3675675,1.651
Tonner Drones,,-1.01149,,,Industrials,0.14666666,1.298
Toolux Sanding,,,,,,,
Toosla,,,0.071,,Industrials,,1.52
Totalenergies,8.146269,0.14385,-0.128,0.0583,Energy,1.0724883,0.739
Totalenergiesgabon,21.820305,0.02379,0.151,0.1122,Energy,0.49987972,0.805
Touax,30.000002,0.018170001,-0.017,0.0308,Industrials,0.33214104,1.625
Tour Eiffel,,-0.1091,-0.002,0.0735,Real Estate,0.20168066,0.591
Tramways De Rouen,2000.0,-0.00442,,0.0077,Financial Services,,0.532085
Transgene,,-2.14693,-0.295,,Healthcare,,0.803
Trigano,5.3935485,0.22926001,0.184,0.0427,Consumer Cyclical,1.3828543,1.194
Trilogiq,14.285715,0.042480003,0.104,,Industrials,0.5727377,0.849
Troc Ile,,-0.13656001,,,Consumer Cyclical,0.7064894,0.204736
Tronics,,,0.043,,Technology,,0.181
Txcom,12.5,0.084350005,0.102,0.0361,Technology,0.9964696,0.469
U10 Corp,48.666668,0.00409,-0.177,0.0571,Consumer Cyclical,0.6266095,0.778
Ubisoft Entertain,,-0.03302,-0.196,,Communication Services,1.0100116,-0.141
Ucapital Global,,,,,,,
Umalis Group,,-1.32446,,,Industrials,,-0.843697
Unibail-Rodamco-We,,-0.050869998,0.056,0.0321,Real Estate,0.7061922,2.067
Unibel,18.903803,0.07194,0.023,0.0107,Consumer Defensive,1.3909075,0.141
Union Tech.Infor.,,0.07986,-0.036,,Technology,,0.582
Uniti,37.25,0.05922,0.009,,Consumer Cyclical,1.4069877,-0.071
Upergy,10.235294,0.05415,-0.036,,Consumer Cyclical,0.5569782,0.334
Uv Germi,21.181818,0.02081,0.06,,Industrials,0.7728026,-1.194
Valbiotis,,,-0.015,,Healthcare,1.1182622,-0.157
Valeo,8.913132,0.07322,-0.008,0.045900002,Consumer Cyclical,0.58897346,1.551
Valerio Tx,,-1.44555,,,Healthcare,2.7461538,1.718
Vallourec,10.38957,0.19135,-0.201,,Basic Materials,1.804283,2.34
Valneva,,-0.03956,0.204,,Healthcare,1.2642119,1.02
Vantiva,,,-0.033,,Communication Services,,1.055
Vente Unique.Com,13.71134,0.27433002,0.114,0.0317,Consumer Cyclical,3.3782067,1.453
Veolia Environ.,19.424658,0.10241,-0.027,0.0442,Industrials,2.339934,1.138
Veom Group,,-4.52749,-0.149,,Technology,,1.654
Verallia,10.22314,0.29806998,-0.176,0.087299995,Consumer Cyclical,3.3765523,0.961
Vergnet,,,-0.485,,Utilities,,-251.479
Verimatrix,,-0.092209995,0.006,,Technology,0.201748,1.47
Verney Carron,,-0.28465,,,Industrials,0.49048376,0.083651
Versity,,,-0.079,,Real Estate,,0.753
Vetoquinol,19.197994,0.089870006,0.032,0.0109,Healthcare,1.6690634,0.949
Vialife,21.149426,,,,Consumer Cyclical,,
Vicat,6.145485,0.10172,0.013,0.0552,Basic Materials,0.591045,1.17
Viel Et Compagnie,6.158192,0.24666001,0.079,0.0369,Financial Services,1.3724502,0.33
Vinci,12.590738,0.15708,0.046,0.044499997,Industrials,2.0117586,0.979
Vinpai,,,0.236,,Basic Materials,4.245014,
Virbac,19.002375,0.14924,0.151,0.0041,Healthcare,2.6953723,0.966
Virtualware,Infinity,,,,Technology,,
Vitura,,-0.38064,-0.149,,Real Estate,0.18191984,0.861
Vivendi Se,23.263159,0.025050001,0.927,0.0286,Communication Services,0.52675486,0.892
Vogo,,-0.101569995,0.232,,Technology,1.5255814,0.539
Voltalia,30.750002,0.02347,0.277,,Utilities,0.81555974,0.802
Voyageurs Du Monde,15.042321,0.22726999,0.106,0.0212,Consumer Cyclical,2.5443316,1.594
Vranken-Pommery,22.068966,0.01269,-0.069,0.0627,Consumer Defensive,0.2803145,0.624
Waga Energy,,-0.13471,0.872,,Industrials,2.7568922,0.301
Wallix,,-0.65963995,0.145,,Technology,6.5403857,1.119
Wavestone,15.601503,0.13462,0.438,0.0086,Technology,1.7916504,1.16
We.Connect,5.5205045,0.17493,-0.073,0.023,Technology,0.9392947,0.555
Weaccess Group,,-0.21455,0.295,,Communication Services,0.69659436,-0.928
Wedia,14.879228,-0.00083,,0.0068,Technology,2.090829,1.035
Wendel,134.01408,0.08186,0.132,0.0423,Financial Services,1.2461855,1.323
Weya,,,,,,,
Whiteni R Cajal,,,,,,,
Winfarm,,,-0.022,,Industrials,0.445442,0.976
Witbe,,-0.22192,-0.254,,Communication Services,1.4365671,1.648
Wiziboat,,,,,Industrials,,
Worldline,,-0.1073,0.021,,Technology,0.2522272,1.369
X-Fab,6.348101,0.11023,-0.117,,Technology,0.6356147,1.913
Xilam Animation,7.923077,,-0.352,,Communication Services,0.27723572,0.91
Zccm,,,-0.667,0.0382,Basic Materials,0.00475985,1.226
Zci Limited,,,,,,,
